row,malicious_probability,label
0,0.9995099082552283,ATTACK
1,0.9992287958848134,ATTACK
2,0.9992552497199857,ATTACK
3,0.9992935529670492,ATTACK
4,0.9992552497199857,ATTACK
5,0.9993276812249531,ATTACK
6,0.9995350440140416,ATTACK
7,0.999425333093773,ATTACK
8,0.9788406066868801,ATTACK
9,0.9788406066868801,ATTACK
10,0.9487947724839314,ATTACK
11,0.9487947724839314,ATTACK
12,0.9988105009445234,ATTACK
13,0.9991632143618716,ATTACK
14,0.9994199314536162,ATTACK
15,0.9767600875117173,ATTACK
16,0.9767600875117173,ATTACK
17,0.9788406066868801,ATTACK
18,0.9788406066868801,ATTACK
19,0.9989915299469868,ATTACK
20,0.9988098494544534,ATTACK
21,0.9988007383609023,ATTACK
22,0.9992672866952814,ATTACK
23,0.988186193754221,ATTACK
24,0.988186193754221,ATTACK
25,0.9997007060516356,ATTACK
26,0.999790979486707,ATTACK
27,0.9993960943709345,ATTACK
28,4.6386581954578954e-05,BENIGN
29,0.9995183104882124,ATTACK
30,0.999081412535226,ATTACK
31,0.9993798509375745,ATTACK
32,4.058411399269829e-05,BENIGN
33,0.9997808668848237,ATTACK
34,4.058411399269829e-05,BENIGN
35,0.9788406066868801,ATTACK
36,0.9988105009445234,ATTACK
37,5.0653516900468904e-05,BENIGN
38,0.9943941086101219,ATTACK
39,0.9788406066868801,ATTACK
40,0.9997957221695422,ATTACK
41,0.9998131836149058,ATTACK
42,0.9991672376042425,ATTACK
43,0.9982708422861561,ATTACK
44,0.9988655635690117,ATTACK
45,0.9988655635690117,ATTACK
46,0.9988655635690117,ATTACK
47,0.9988655635690117,ATTACK
48,0.9995604007829973,ATTACK
49,0.9997029928228369,ATTACK
